url,nb_hyperlinks,nb_extCSS,login_form,external_favicon,submit_email,iframe,popup_window,onmouseover,empty_title,domain_in_title,whois_registered_domain,domain_registration_length,domain_age,web_traffic,dns_record,google_index,page_rank,status
http://www.progarchives.com/album.asp?id=61737, 143, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 627, 6678, 78526, 0, 0, 5, 1
http://signin.eday.co.uk.ws.edayisapi.dllsign.inusingsslpuseridcopartnerid2siteid.zdfxx949xyss1pnbh0soabfdzgdh2kppnu.reippl.com/, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 300, 65, 0, 0, 1, 0, 1
http://www.avevaconstruction.com/blesstool/image.htm, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 119, 1707, 0, 0, 1, 0, 1
http://www.jp519.com/, 404, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 130, 1331, 0, 0, 0, 0, 0
https://www.velocidr1.com/, 57, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 164, 1662, 312044, 0, 0, 4, 0
https://support-appleld.com.secureupdate.duilawyeryork.com/ap/b5aed586dda5d21/?cmd=_update&dispatch=b5aed586dda5d219f&locale=_US, 51, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 25, 3993, 5707171, 0, 1, 0, 1
https://www.authpro.com/auth/ubabankng/?action=reg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 705, 7330, 154708, 0, 0, 4, 1
http://littlee.com.au/alibaba/login.alibaba.com.php, 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, -1, 0, 0, 1, 0, 1
http://www.tutorialspoint.com/dbms/, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 5046, 379, 0, 0, 5, 0
http://www.domarada.sk, 99, 2, 0, 1, 0, 0, 0, 0, 0, 1, 0, 148, 3505, 0, 0, 0, 2, 0
http://www.grouper.in/wp-includes/js/tinymce/etisalat.ae/, 151, 19, 1, 1, 0, 0, 0, 0, 0, 1, 0, 496, -1, 0, 0, 1, 0, 1
https://www.prepaid-karte-vergleich.de/, 70, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, -1, 0, 0, 0, 2, 0
http://nandabolsas.com.br/forum/control.html, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 329, -1, 0, 0, 1, 0, 1
http://betasus7.blogspot.com, 14, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 374, 7295, 0, 0, 1, 5, 1
https://www.youtube.com/channel/UCLSjw7g5U48jgtjaeyjfwjQ, 39, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 204, 5640, 2, 0, 1, 10, 0
https://fieldst1rp-my.sharepoint.com/:b:/p/danfields/EZ7SH1xQSDpMtP4DleQT5tUBXo4sRqDgcRy807wUg7VFFg?e=Mz09kC, 26, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 381, 8019, 0, 0, 1, 4, 1
http://www.webopedia.com/TERM/C/CLI.html, 164, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 617, 8147, 12601, 0, 0, 6, 0
https://www.allmenus.com/nc/charlotte/89187-mimosa-grill/menu/, 71, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 382, 5826, 34738, 0, 0, 5, 0
http://www.makeuseof.com/tag/p2p-peer-peer-file-sharing-works/, 101, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 346, 5132, 1310, 0, 0, 7, 0
http://bdo-onlineverify.xyz/bdoverification/security/verify/login.php, 72, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 360, 5, 0, 0, 1, 0, 1
http://www.picfront.org/, 49, 3, 0, 1, 0, 0, 0, 0, 0, 1, 0, 112, 5001, 0, 0, 0, 3, 0
http://kam-net.ci/2026584619/verification.php, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 199, 0, 0, 0, 0, 1
https://www.beddenreus.nl/, 308, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 6140, 1177815, 0, 0, 3, 0
https://www.simpsonbayresort.com/, 23, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 524, 3494, 3399200, 0, 0, 3, 0
http://hamathiel-sunsheer.tumblr.com, 24, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1047, 5161, 0, 0, 0, 8, 0
http://ipnpr.jpl.nasa.gov/progress_report/42-64/64G.PDF, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, -1, 1033, 0, 1, 7, 0
https://www.powerhome.jp/, 178, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 4011, 0, 0, 0, 2, 0
https://www.insidethefun.com/Login.aspx?redir=/default.aspx, 16, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 172, 3480, 0, 0, 1, 0, 0
http://whatsappporn.wikaba.com/, 28, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 102, 7202, 461958, 1, 1, 2, 1
